,diag_0_0,diag_0_1,diag_0_2,diag_0_3,diag_0_4,diag_1_0,diag_1_1,diag_1_2,diag_1_3
11,-7.93487054896813,-1.3163874271364338,-7.96677870668991,-10.353478104794931,-5.758431682499728,7.490359718341243,1.2368735721477868,1.7280242505178438,8.35513604445766
12,-2.1883432558903837,-1.689415744046286,-2.6357810728326254,-3.4685237146546246,-5.327277462927637,1.6666884335918464,0.46029884916356145,0.4892311990559727,1.142151425464125
13,-2.034021152682743,-1.7839901286976476,-2.681289872744713,-1.0020280925922112,-1.98484522633219,1.696978888017718,0.11669794040982887,0.9690282346492408,0.06729332138174098
14,-1.387747382652339,-4.124722331492673,-6.285622484532032,-7.348345834108279,-8.954582109762752,1.3225993281655595,0.7399370813355914,4.332092210418865,2.855377991216688
15,-1.3627933596020196,-2.809809724499362,-9.33753116918649,-14.235891581502818,-16.28913498113582,0.711277869123218,2.685743120773877,5.764007165324846,4.067412597227331
16,-2.050467799135484,-2.8704464930168374,-1.6887746112940443,-3.3750046626738017,-3.7336217796209077,1.4399323313874,1.7671004987022962,0.09021105467510442,2.631878466346662
17,-1.4810030145570963,-6.131031097311291,-6.084429718020846,-3.3167389661022906,-1.8021305766462594,1.2990605151620451,2.67132724977649,4.168272617588304,0.9123323759463448
18,-7.1124152537132765,-1.2527788694799598,-17.42999694916327,-13.583076095958752,-10.549881809364724,6.757650590231577,0.8267606070402869,12.107237628637543,10.841497200391641
19,-1.4240149014381294,-10.402673032874473,-4.167090733084783,-22.68681737921528,-7.278777138644863,1.25661582050327,10.134425052763717,0.19332346927784064,20.158054818237044
20,-1.6515313342779816,-2.7035895744648673,-2.710556517977101,-2.797670681025796,-3.355416256982639,1.2292990144879843,0.6206070345434358,1.7423889676718254,1.4437111458379521
21,-1.530486256766229,-2.0610822959285513,-9.200454459253086,-4.756127309512096,-2.7786792532446207,0.9169779311425652,1.3416824062651442,0.6700435449527651,3.5161406280821272
22,-2.3419750606099194,-1.7660441015066415,-1.7436915520701315,-2.1319512153572293,-1.5850158236017318,2.148683220920721,0.12005087394383104,0.6542071687295528,0.9767854788775839
23,-4.422604853199141,-1.7774304120980655,-4.018031305323812,-4.392733991387542,-3.281587662057022,3.2749549973897074,1.6382173163920626,3.469446855526014,1.302647524998204
24,-1.6911024894260662,-1.7497666239282865,-1.533029468585388,-1.9095893201144634,-0.6593016713917381,1.1812880664745187,0.0340209770875321,0.03769220815627494,1.5894049652247475
25,-2.1826425065196418,-4.048808221693449,-3.6597048844353983,-2.1085374377155315,-2.25090625305134,1.7779220863667793,2.136461908492823,2.3183796534901475,1.639541440204245
26,-1.795702215507694,-2.9251936363602877,-1.8024966859257847,-1.0828164739236792,-1.8476763002771284,1.1955576608019616,1.6715386680903608,0.014736269269173052,1.0091529061812492
27,-2.1716829968492872,-2.171975267302552,-1.3548661750826334,-1.2692512402840452,-2.3334331452974335,1.9223646647130845,0.3886880183172526,0.13927813489207239,0.4045309804227813
28,-5.0768414499508685,-1.6259340607371493,-4.427727261099267,-3.3819688641316716,-1.415697825202841,5.048456909005643,0.4977531264105168,3.6375604266131623,0.9329200707120668
29,-3.559288049698904,-1.8348882115163532,-4.055691955156953,-1.0031977529746723,-3.3776970548391643,2.9189146811603037,1.8081289775926013,0.3488695741909379,0.17332314817634206
30,-3.2139449749197073,-2.3193491335456256,-3.48996773989973,-1.6822595885333544,-3.631624548695784,2.5042616106094573,2.2986005500657676,0.9152905311357176,0.3393747946415303
31,-2.9476263044118602,-2.021121368626765,-3.327209553534079,-1.7397420161284527,-1.2574024748492583,2.8857472661033525,0.3878340263456056,2.216477024600854,0.8383125799910538
32,-4.559452106558139,-1.4904619458268002,-1.8045378606165707,-1.0901996700334047,-4.615494430759202,4.260157469382288,0.40983115725007263,0.07467292978723737,0.7848618667745823
33,-1.6573857902168068,-5.704911363886275,-6.604348945005232,-1.9886110246681623,-5.653633094309914,1.3287739215263945,4.072275868536143,3.4831883360752225,0.6583480253291965
34,-1.436188647569652,-9.129779231659615,-9.550691623195037,-1.5772587378868206,-14.246704753773821,1.4165819797247143,8.132265553714078,1.7112619772615882,0.553581284835819
35,-1.86933565844771,-5.700626372553614,-3.617436453457071,-5.570568063268664,-2.1997631887519042,1.3247224443132528,4.1711455654299785,2.990752999981078,3.442673852571785
36,-1.8012384755886093,-1.7467340332077879,-5.70283465211136,-5.926498983966489,-5.086770378335486,1.1978106703490752,0.5417520181383587,2.1846403168834225,5.579326210505271
37,-1.4042947908090662,-9.003217135064888,-4.403060502367597,-2.59757027713776,-4.2024479814269835,1.1426839438811802,4.741265508033879,1.7894040520327799,2.078260256770615
